,tuple_coords,Melanargia galathea,Pieris napi,Aphantopus hyperantus,Aglais io,Polyommatus icarus,Vanessa atalanta,Lycaena phlaeas,Pararge aegeria,Gonepteryx rhamni,Thymelicus lineola,Pieris rapae,Coenonympha pamphilus,Aricia agestis,Polygonia c-album,Maniola jurtina,Aglais urticae,Vanessa cardui,Thymelicus sylvestris,Pyronia tithonus,Pieris brassicae,Lysandra coridon,Celastrina argiolus,Speyeria aglaja,Ochlodes venata,Plebejus argus,Lasiommata megera,Anthocharis cardamines,Argynnis paphia,Callophrys rubi,Ladoga camilla,Leptidea sinapis,Boloria selene,Satyrium w-album,Erynnis tages,Mellicta athalia,Pyrgus malvae,Euphydryas aurinia,Lysandra bellargus,Quercusia quercus,Colias croceus,Hesperia comma,Cupido minimus,Hipparchia semele,Clossiana euphrosyne,Thymelicus acteon,Hamearis lucina,Aricia artaxerxes,Papilio machaon,Fabriciana adippe,Fixsenia pruni,Thecla betulae,Erebia aethiops,Apatura iris,Coenonympha tullia,Tyria jacobaeae,Euclidia glyphica,Odezia atrata,Melitaea cinxia,Carterocephalus palaemon,Nymphalis polychloros,Nymphalis antiopa,Erebia epiphron,n_visits,name_loc
211,"(-2.896447, 51.960565)",0.17391304347826086,0.45652173913043476,0.21739130434782608,0.1956521739130435,0.21739130434782608,0.043478260869565216,0.021739130434782608,0.8478260869565217,0.0,0.0,0.21739130434782608,0.0,0.0,0.06521739130434782,0.4782608695652174,0.10869565217391304,0.13043478260869565,0.043478260869565216,0.30434782608695654,0.021739130434782608,0.0,0.043478260869565216,0.1956521739130435,0.13043478260869565,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,UKBMS_loc-0376
212,"(-2.893062, 51.052429)",0.0,0.7391304347826086,0.043478260869565216,0.391304347826087,0.043478260869565216,0.5217391304347826,0.13043478260869565,0.13043478260869565,0.17391304347826086,0.0,0.2608695652173913,0.0,0.043478260869565216,0.2608695652173913,0.34782608695652173,0.5652173913043478,0.30434782608695654,0.0,0.17391304347826086,0.782608695652174,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,UKBMS_loc-1201
213,"(-2.889028, 52.320251)",0.0,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.0,0.9090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.0,0.0,0.18181818181818182,0.36363636363636365,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,UKBMS_loc-0385
214,"(-2.872892, 50.73784)",0.2826086956521739,0.1956521739130435,0.1956521739130435,0.1956521739130435,0.5,0.30434782608695654,0.34782608695652173,0.5869565217391305,0.0,0.0,0.32608695652173914,0.8695652173913043,0.0,0.06521739130434782,0.5217391304347826,0.08695652173913043,0.2391304347826087,0.2391304347826087,0.32608695652173914,0.2826086956521739,0.0,0.13043478260869565,0.08695652173913043,0.1956521739130435,0.0,0.043478260869565216,0.06521739130434782,0.17391304347826086,0.06521739130434782,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,UKBMS_loc-0313
215,"(-2.871642, 51.430258)",0.12727272727272726,0.01818181818181818,0.12727272727272726,0.14545454545454545,0.45454545454545453,0.43636363636363634,0.12727272727272726,0.9090909090909091,0.10909090909090909,0.0,0.8909090909090909,0.0,0.03636363636363636,0.14545454545454545,0.45454545454545453,0.10909090909090909,0.09090909090909091,0.10909090909090909,0.21818181818181817,0.8181818181818182,0.0,0.23636363636363636,0.0,0.0,0.0,0.0,0.2,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,UKBMS_loc-0841
216,"(-2.869264, 54.280001)",0.0,0.6666666666666666,0.35555555555555557,0.5333333333333333,0.5111111111111111,0.1111111111111111,0.15555555555555556,0.9111111111111111,0.4888888888888889,0.0,0.2222222222222222,0.06666666666666667,0.0,0.2222222222222222,0.4,0.044444444444444446,0.15555555555555556,0.3333333333333333,0.08888888888888889,0.28888888888888886,0.0,0.0,0.3111111111111111,0.3333333333333333,0.0,0.08888888888888889,0.2222222222222222,0.26666666666666666,0.13333333333333333,0.0,0.0,0.28888888888888886,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.15555555555555556,0.0,0.0,0.35555555555555557,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,UKBMS_loc-0195
217,"(-2.869085, 51.295399)",0.3076923076923077,0.23076923076923078,0.38461538461538464,0.20512820512820512,0.7435897435897436,0.41025641025641024,0.05128205128205128,0.9743589743589743,0.48717948717948717,0.0,0.717948717948718,0.8205128205128205,0.38461538461538464,0.2564102564102564,0.6923076923076923,0.3333333333333333,0.23076923076923078,0.07692307692307693,0.5128205128205128,0.7435897435897436,0.0,0.0,0.28205128205128205,0.1282051282051282,0.0,0.3333333333333333,0.15384615384615385,0.20512820512820512,0.05128205128205128,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.10256410256410256,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,UKBMS_loc-0166
218,"(-2.869074, 54.271015)",0.0,0.7272727272727273,0.2727272727272727,0.5909090909090909,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.9090909090909091,0.4090909090909091,0.0,0.3181818181818182,0.0,0.0,0.13636363636363635,0.4090909090909091,0.4090909090909091,0.18181818181818182,0.36363636363636365,0.3181818181818182,0.4090909090909091,0.0,0.0,0.3181818181818182,0.2727272727272727,0.0,0.045454545454545456,0.13636363636363635,0.3181818181818182,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.5454545454545454,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,UKBMS_loc-0355
219,"(-2.869004, 56.427656)",0.0,0.782608695652174,0.2391304347826087,0.6304347826086957,0.2826086956521739,0.15217391304347827,0.6086956521739131,0.021739130434782608,0.0,0.0,0.17391304347826086,0.043478260869565216,0.0,0.021739130434782608,0.2826086956521739,0.021739130434782608,0.21739130434782608,0.0,0.0,0.1956521739130435,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.2826086956521739,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,UKBMS_loc-0194
220,"(-2.868508, 54.244056)",0.0,0.6923076923076923,0.3333333333333333,0.5128205128205128,0.0,0.3076923076923077,0.2564102564102564,0.8974358974358975,0.5897435897435898,0.0,0.3333333333333333,0.05128205128205128,0.0,0.28205128205128205,0.41025641025641024,0.28205128205128205,0.28205128205128205,0.358974358974359,0.2564102564102564,0.1794871794871795,0.0,0.05128205128205128,0.07692307692307693,0.3333333333333333,0.0,0.05128205128205128,0.28205128205128205,0.3076923076923077,0.02564102564102564,0.0,0.0,0.2564102564102564,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,UKBMS_loc-0832
