bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,corine_frac_111,corine_frac_112,corine_frac_121,corine_frac_122,corine_frac_123,corine_frac_124,corine_frac_131,corine_frac_132,corine_frac_133,corine_frac_141,corine_frac_142,corine_frac_211,corine_frac_212,corine_frac_213,corine_frac_221,corine_frac_222,corine_frac_223,corine_frac_231,corine_frac_241,corine_frac_242,corine_frac_243,corine_frac_244,corine_frac_311,corine_frac_312,corine_frac_313,corine_frac_321,corine_frac_322,corine_frac_323,corine_frac_324,corine_frac_331,corine_frac_332,corine_frac_333,corine_frac_334,corine_frac_335,corine_frac_411,corine_frac_412,corine_frac_421,corine_frac_422,corine_frac_423,corine_frac_511,corine_frac_512,corine_frac_521,corine_frac_522,corine_frac_523,coords,name,aux_corine_frac_top_1,aux_corine_frac_top_2,aux_corine_frac_top_3,aux_corine_frac_top_4,aux_corine_frac_top_5
9.5,7.7,37.0,46.05,21.200000000000003,0.5,20.700000000000003,4.9,14.1,15.6,3.9,789.0,90.0,46.0,21.0,256.0,156.0,160.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3142829686703965,0.0,0.0,0.0,0.0,0.0,0.6857170313296034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-1.923051, 50.965895)",UKBMS_loc-0023,corine_frac_231,corine_frac_211,corine_frac_335,corine_frac_411,corine_frac_313
9.1,7.1000000000000005,35.0,46.63,20.6,0.5,20.1,4.5,10.8,15.4,3.6,844.0,95.0,52.0,20.0,271.0,168.0,174.0,254.0,0.0,0.1211667267915388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4717687153513489,0.0,0.0,0.0,0.0,0.0,0.4070645578571122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-2.476851, 50.812074)",UKBMS_loc-0025,corine_frac_211,corine_frac_231,corine_frac_112,corine_frac_522,corine_frac_512
9.7,6.9,33.0,47.72,20.700000000000003,0.4,20.3,4.6000000000000005,6.1000000000000005,15.8,3.6,634.0,64.0,41.0,13.0,181.0,134.0,162.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122778444967125,0.0156677464181118,0.0,0.0,0.0,0.0,0.0,0.0883380484128607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0260012168403066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4886846041082139,0.0,0.3690305397237942,0.0,0.0,0.0,0.0,0.0,"(0.202943, 53.417963)",UKBMS_loc-0026,corine_frac_421,corine_frac_423,corine_frac_231,corine_frac_321,corine_frac_211
8.8,7.0,35.0,46.01,19.5,0.0,19.5,6.300000000000001,10.9,14.8,3.0,1070.0,117.0,62.0,22.0,342.0,199.0,245.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422750273116946,0.0,0.0,0.0,0.0,0.0080203122994397,0.0,0.3489878002578803,0.0,0.0,0.0,0.0,0.0,0.0,0.0007168601309852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-2.838733, 54.289205)",UKBMS_loc-0027,corine_frac_231,corine_frac_313,corine_frac_311,corine_frac_333,corine_frac_142
9.8,6.0,33.0,43.46,19.8,1.7000000000000002,18.1,5.4,11.4,15.5,4.5,1066.0,126.0,63.0,25.0,363.0,192.0,205.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4918950314496371,0.0,0.0,0.0,0.0,0.0,0.3659685521123463,0.0,0.0,0.0,0.0,0.1421364164380165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-3.894596, 50.770679)",UKBMS_loc-0028,corine_frac_211,corine_frac_231,corine_frac_311,corine_frac_324,corine_frac_141
9.8,7.5,34.0,49.51,21.5,0.0,21.5,13.8,6.1000000000000005,16.1,3.5,552.0,52.0,32.0,11.0,150.0,117.0,148.0,125.0,0.0,0.0371747446922436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008438219716274,0.8049890006386725,0.0,0.0,0.0,0.0,0.0,0.1569924326974563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.060327, 52.253726)",UKBMS_loc-0029,corine_frac_211,corine_frac_231,corine_frac_112,corine_frac_142,corine_frac_332
9.6,8.1,36.0,49.01,21.9,0.0,21.9,6.800000000000001,5.9,16.0,3.5,692.0,68.0,43.0,13.0,201.0,150.0,161.0,175.0,0.0,0.0041822599476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062955413208797,0.0211612129626707,0.0,0.0,0.0,0.0,0.0,0.2563849673408854,0.0,0.0,0.0,0.0,0.0119760184279448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.30346, 51.250368)",UKBMS_loc-0030,corine_frac_142,corine_frac_231,corine_frac_211,corine_frac_311,corine_frac_112
9.4,7.5,34.0,49.58,21.4,-0.3,21.700000000000003,6.7,5.7,15.8,3.1,692.0,69.0,42.0,13.0,197.0,146.0,169.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1688668355518833,0.0,0.0,0.0,0.0,0.0,0.386772446612931,0.0,0.0,0.1850080155104074,0.0,0.2593527023247782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.953204, 51.662614)",UKBMS_loc-0031,corine_frac_231,corine_frac_311,corine_frac_243,corine_frac_211,corine_frac_124
9.9,7.6,36.0,47.76,21.5,0.4,21.1,4.800000000000001,14.7,16.1,3.9,791.0,87.0,49.0,20.0,255.0,159.0,163.0,227.0,0.0,0.2348465663061442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054661472889487,0.3554621152048822,0.0,0.0,0.0,0.0,0.0,0.3550298455994865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-1.165943, 51.09783)",UKBMS_loc-0032,corine_frac_211,corine_frac_231,corine_frac_112,corine_frac_142,corine_frac_323
9.7,7.7,38.0,44.9,21.1,0.9,20.200000000000003,5.2,14.0,15.6,4.3,796.0,91.0,47.0,21.0,260.0,157.0,160.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2248304328142914,0.7751695671857085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-2.051066, 50.831023)",UKBMS_loc-0033,corine_frac_211,corine_frac_142,corine_frac_335,corine_frac_141,corine_frac_331
